"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C9,C10","3","47 uF","","","","","~"
"C2,C26,C33","3","100 nF","","","","","~"
"C3,C5","2","0.1uF","","","","","~"
"C4,C14,C25","3","0.1 uF","","","","","~"
"C6","1","2.2 uF","","","","","~"
"C7,C8,C12,C13,C15,C16,C17,C20,C21,C22,C23,C24,C34","13","10 uF","","","","","~"
"C11","1","47 nF","","","","","~"
"C18,C19","2","33 uF POSCAP","","","","","~"
"C27,C28","2","1 uF","","","","","~"
"C29,C30,C31,C32","4","22 uF","","","","","~"
"D1,D2","2","BZT52BC12","","","","Diode_SMD:D_SOD-123F","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzt52b2v4.pdf"
"D3","1","LED","","","","","~"
"J1","1","Conn_Coaxial","","","","Connector_Coaxial:SMA_BAT_Wireless_BWSMA-KWE-Z001","~"
"J2,J3","2","Screw_Terminal_01x02","","","","","~"
"L1","1","1.0 uH","","","","","~"
"L2,L3","2","1.5 uH","","","","","~"
"P1","1","USB_C_Plug_USB2.0","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"Q1,Q2","2","CSD87312Q3E","","","","",""
"R1,R2","2","294 Ohm","","","","","~"
"R3","1","5.1 kOhm","","","","","~"
"R4","1","2 Ohm","","","","","~"
"R5,R6,R14","3","4.7 kOhm","","","","","~"
"R7","1","2.2 kOhm","","","","","~"
"R8,R9,R17","3","10 kOhm","","","","","~"
"R10","1","100 Ohm","","","","","~"
"R11","1","6.04 kOhm","","","","","~"
"R12,R13","2","127 kOhm","","","","","~"
"R15","1","200 kOhm","","","","","~"
"R16","1","624 kOhm","","","","","~"
"R18,R21","2","100 kOhm","","","","","~"
"R20","1","649 kOhm","","","","","~"
"U1","1","ESP32-S3-WROOM-1","","","","PCM_Espressif:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U2","1","LoRa126XF30","","","","myRF:LoRa126XF30",""
"U3","1","BQ25798","","","","Package_DFN_QFN:Texas_RQM0029A_VQFN-29_4x4mm_P0.4mm","https://www.ti.com/lit/ds/symlink/bq25798.pdf"
"U4,U5","2","TPS63070RNMR","","","","TPS63070RNMR:VREG_TPS63070RNMR",""
